movie_id,title,genre,director,actors,language,release_year,duration_minutes,imdb_rating,description
24,Rehnaa Hai Terre Dil Mein,"Romance","Gautham Menon","Madhavan,Dia Mirza",Hindi,2001,167,7.5,"A man impersonates someone to win a girl’s heart."
25,Hera Pheri,"Comedy","Priyadarshan","Paresh Rawal,Akshay Kumar",Hindi,2000,147,8.2,"Three tenants get involved in a kidnapping by mistake."
26,Welcome,"Comedy","Anees Bazmee","Akshay Kumar,Katrina Kaif",Hindi,2007,158,7.0,"A don wants to marry his sister into a decent family."
27,Phir Hera Pheri,"Comedy","Neeraj Vora","Akshay Kumar,Paresh Rawal",Hindi,2006,153,7.1,"Trio tries to double their fortune and fails."
28,Bhool Bhulaiyaa,"Comedy,Drama","Priyadarshan","Akshay Kumar,Vidya Balan",Hindi,2007,151,7.3,"A psychologist solves a case of mental illness."
29,Chupke Chupke,"Comedy","Hrishikesh Mukherjee","Dharmendra,Amitabh Bachchan",Hindi,1975,144,8.3,"Man plays prank pretending to be a driver."
30,PK,"Comedy,Drama","Rajkumar Hirani","Aamir Khan,Anushka Sharma",Hindi,2014,153,8.1,"Alien questions religious beliefs in India."
31,Badhaai Ho,"Comedy","Amit Sharma","Ayushmann Khurrana,Neena Gupta",Hindi,2018,124,7.9,"Middle-aged couple gets pregnant, shocking family."
32,Stree,"Comedy,Horror","Amar Kaushik","Rajkummar Rao,Shraddha Kapoor",Hindi,2018,128,7.6,"A mysterious female spirit haunts men in town."
33,Andhadhun,"Thriller","Sriram Raghavan","Ayushmann Khurrana,Tabu",Hindi,2018,139,8.3,"A blind pianist caught in a murder plot."
34,Talaash,"Thriller","Reema Kagti","Aamir Khan,Kareena Kapoor",Hindi,2012,139,7.2,"Cop investigates mysterious death of an actor."
35,Kahaani,"Thriller","Sujoy Ghosh","Vidya Balan,Nawazuddin Siddiqui",Hindi,2012,122,8.1,"A pregnant woman searches for her missing husband."
36,Drishyam,"Thriller","Nishikant Kamat","Ajay Devgn,Tabu",Hindi,2015,163,8.2,"A man covers up a crime to protect family."
37,Raazi,"Thriller","Meghna Gulzar","Alia Bhatt,Vicky Kaushal",Hindi,2018,138,7.7,"Indian spy marries into Pakistani military."
38,Badla,"Thriller","Sujoy Ghosh","Amitabh Bachchan,Taapsee Pannu",Hindi,2019,118,7.8,"A lawyer investigates a murder from multiple views."
39,A Wednesday!,"Thriller","Neeraj Pandey","Naseeruddin Shah,Anupam Kher",Hindi,2008,104,8.1,"A common man threatens a bomb attack on Mumbai."
40,Special 26,"Thriller","Neeraj Pandey","Akshay Kumar,Anupam Kher",Hindi,2013,144,8.0,"Conmen pose as CBI officers to rob politicians."
41,Gully Boy,"Musical","Zoya Akhtar","Ranveer Singh,Alia Bhatt",Hindi,2019,154,7.9,"Aspiring rapper from Mumbai slums."
42,Aashiqui,"Musical,Romance","Mahesh Bhatt","Rahul Roy,Anu Agarwal",Hindi,1990,152,7.0,"A young couple's musical love story."
43,Rockstar,"Musical,Romance","Imtiaz Ali","Ranbir Kapoor,Nargis Fakhri",Hindi,2011,159,7.7,"Musician's rise through heartbreak."
44,Taal,"Musical,Romance","Subhash Ghai","Aishwarya Rai,Anil Kapoor",Hindi,1999,179,6.7,"A singer rises to fame amidst love drama."
45,Band Baaja Baaraat,"Musical,Comedy","Maneesh Sharma","Ranveer Singh,Anushka Sharma",Hindi,2010,140,7.2,"Wedding planners fall for each other."
46,ABCD,"Musical,Dance","Remo D'Souza","Prabhu Deva,Lauren Gottlieb",Hindi,2013,143,6.4,"Dancers form a team to win a competition."
47,Student of the Year,"Musical,Drama","Karan Johar","Sidharth Malhotra,Alia Bhatt",Hindi,2012,146,5.5,"Students compete for the 'Student of the Year' title."
48,Sur: The Melody of Life,"Musical","Tanuja Chandra","Lucky Ali,Gauri Karnik",Hindi,2002,137,6.7,"A music teacher helps a student become star."
49,Dangal,"Biography,Sport","Nitesh Tiwari","Aamir Khan,Fatima Sana Shaikh",Hindi,2016,161,8.4,"Wrestler trains his daughters to become champs."
50,Bhaag Milkha Bhaag,"Biography,Sport","Rakeysh Omprakash Mehra","Farhan Akhtar",Hindi,2013,186,8.2,"Life of Olympian Milkha Singh."
51,MS Dhoni,"Biography,Sport","Neeraj Pandey","Sushant Singh Rajput",Hindi,2016,184,7.9,"Story of India's cricket captain."
52,Super 30,"Biography,Drama","Vikas Bahl","Hrithik Roshan",Hindi,2019,155,7.9,"A teacher trains poor students for IIT."
53,The Sky is Pink,"Biography,Drama","Shonali Bose","Priyanka Chopra,Farah Khan",Hindi,2019,143,7.6,"A couple navigates their daughter's terminal illness."
54,Sarbjit,"Biography,Drama","Omung Kumar","Aishwarya Rai,Randeep Hooda",Hindi,2016,131,7.3,"Wrongly jailed Indian seeks justice."
55,Neerja,"Biography,Drama","Ram Madhvani","Sonam Kapoor",Hindi,2016,122,7.7,"A flight attendant saves passengers from hijack."
56,Shershaah,"Biography,War","Vishnuvardhan","Sidharth Malhotra,Kiara Advani",Hindi,2021,135,8.3,"Based on Captain Vikram Batra's Kargil story."
57,Bahubali,"Fantasy,Action","S. S. Rajamouli","Prabhas,Rana Daggubati",Hindi,2015,159,8.0,"A warrior discovers his legacy and power."
58,Brahmastra,"Fantasy,Adventure","Ayan Mukerji","Ranbir Kapoor,Alia Bhatt",Hindi,2022,167,5.6,"A man discovers his connection to cosmic energy."
59,Koi Mil Gaya,"Fantasy,Science Fiction","Rakesh Roshan","Hrithik Roshan,Preity Zinta",Hindi,2003,171,7.1,"Boy befriends alien with special powers."
60,Ra.One,"Fantasy,Sci-Fi","Anubhav Sinha","Shah Rukh Khan,Kareena Kapoor",Hindi,2011,156,4.6,"Video game villain comes to life."
61,Tumbbad,"Fantasy,Horror","Rahi Anil Barve","Sohum Shah",Hindi,2018,104,8.2,"A man's greed for a hidden treasure ruins generations."
62,Thoda Pyaar Thoda Magic,"Fantasy","Kunal Kohli","Saif Ali Khan,Rani Mukerji",Hindi,2008,145,4.7,"A fairy helps a lonely billionaire and orphans."
63,Aladin,"Fantasy","Sujit Sircar","Amitabh Bachchan,Riteish Deshmukh",Hindi,2009,132,4.3,"A modern-day Aladin fights an evil genie."
64,Paheli,"Fantasy,Drama","Amol Palekar","Shah Rukh Khan,Rani Mukerji",Hindi,2005,141,6.8,"A ghost falls in love with a married woman."
